,0
0,Georgia
1,Hawaii
2,Idaho
3,Illinois
4,Indiana
5,Iowa
6,Kansas
7,Kentucky
8,Louisiana
9,Maine
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,New Jersey
21,New Mexico
22,New York
23,North Carolina
24,North Dakota
25,Ohio
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Texas
34,Utah
35,Vermont
36,Virginia
37,Washington
38,West Virginia
39,Wisconsin
40,Wyoming
